Country,Indicator,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
Kenya,Deposit interest rate (%),6.639166667,5.486666667,4.133333333,2.433333333,5.0825,5.138702951,5.162251046,5.302130634,5.96701675,4.557366667,5.628563398,11.57214466,8.641769671,8.373379608,9.188945211,8.688625573,7.674123258,8.292700217,7.506070306,6.968703291,6.686973788,7.145175502,9.167690176
Ghana,Lending interest rate (%),,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,Lending interest rate (%),,,,,7.049166667,4.736666667,4.751666667,4.984166667,4.9775,5.113333333,5.255916667,5.039166667,5.2875,5.338333333,5.154166667,5.295,5.14,,,,,,
Kenya,Lending interest rate (%),19.66583333,18.45333333,16.57333333,12.53166667,12.8825,13.63553391,13.34034368,14.01693938,14.80454124,14.3715,15.04675999,19.72340665,17.31345769,16.51393071,16.08661379,16.55963065,13.66757252,13.06075884,12.44113289,11.99578462,12.07999835,12.3358409,13.58850172
Ghana,"Interest rate spread (lending rate minus deposit rate, %)",,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,"Interest rate spread (lending rate minus deposit rate, %)",,,,,-0.5583333333,-3.085,-3.061666667,-3.14,-3.601666667,-3.273333333,-3.244916667,-2.953333333,-2.366666667,-1.92,-1.844166667,-1.63,-1.35,,,,,,
Kenya,"Interest rate spread (lending rate minus deposit rate, %)",13.02666667,12.96666667,12.44,10.09833333,7.8,8.496830957,8.178092629,8.714808744,8.837524492,9.814133333,9.418196593,8.151261996,8.67168802,8.140551099,6.897668575,7.871005073,5.993449259,4.768058619,4.935062582,5.027081326,5.393024559,5.190665401,4.42081154
Ghana,Fossil fuel energy consumption (% of total),32.17571931,36.02899109,36.76213635,36.9201097,37.602505,43.03432272,45.75724713,42.95207948,46.00239359,49.67778841,49.82103972,52.6160022,52.49759344,52.54306013,,,,,,,,,
Cote d'Ivoire,Fossil fuel energy consumption (% of total),34.29839715,37.84871563,32.50144051,24.9305733,25.39125672,21.44916428,24.25328525,24.61665796,22.71780363,23.23150743,20.86776164,24.68015408,26.6581215,26.49233002,,,,,,,,,
Kenya,Fossil fuel energy consumption (% of total),16.421786,15.67695128,12.99901109,14.09902397,15.43874425,17.06526414,16.64351131,16.96466644,18.85477295,19.41168608,19.06401864,17.11461578,18.26607228,17.37957261,,,,,,,,,
Ghana,Unemployment rate,9.604,8.698,7.722,6.757,5.817,4.897,5.092,5.142,5.349,5.384,4.227,3.141,2.173,4.412,6.806,5.237,3.369,3.251,3.156,3.285,3.338,3.084,3.079
Cote d'Ivoire,Unemployment rate,5.199,5.516,5.858,5.93,6.041,6.04,6.308,6.404,6.586,6.614,7.145,7.223,4.255,3.275,2.574,1.896,3.273,2.851,2.401,2.559,2.59,2.434,2.403
Kenya,Unemployment rate,2.868,2.903,2.86,2.836,2.739,2.678,2.65,2.752,2.813,2.793,2.706,2.686,2.764,2.768,2.763,2.757,3.54,4.284,5.014,5.621,5.693,5.805,5.682
